Table 1,,,,,,,,
,UA,UANAME,UA00,UA00NAME,UAPOP,UA00POP,UAAREALAND,UA00AREALAND
,15832,"Chattanooga, TN--GA                                                                                 ",15832,"Chattanooga, TN--GA",381112,343509,300.13,290.00
,71479,"Port St. Lucie, FL                                                                                  ",71479,"Port St. Lucie, FL",376047,270774,208.10,169.03
,85087,"Stockton, CA                                                                                        ",85087,"Stockton, CA",370583,313392,92.52,74.29
,66673,"Oxnard, CA                                                                                          ",66673,"Oxnard, CA",367260,337591,84.38,75.70
,23500,"Denton--Lewisville, TX                                                                              ",23500,"Denton--Lewisville, TX",366174,299823,145.18,121.57
,58006,"Modesto, CA                                                                                         ",58006,"Modesto, CA",358172,310945,91.88,86.08
,29872,"Flint, MI                                                                                           ",29872,"Flint, MI",356218,365096,235.90,231.11
,42211,"Jackson, MS                                                                                         ",42211,"Jackson, MS",351478,292637,242.49,160.84
,8785,"Boise City, ID                                                                                      ",8785,"Boise City, ID",349684,272625,133.83,108.68
,67134,"Palm Coast--Daytona Beach--Port Orange, FL                                                          ",22636,"Daytona Beach--Port Orange, FL",349064,255353,179.34,113.56
,25228,"Durham, NC                                                                                          ",25228,"Durham, NC",347602,287796,181.74,156.78
,41347,"Indio--Cathedral City, CA                                                                           ",41347,"Indio--Cathedral City--Palm Springs, CA",345580,254856,143.79,98.59
,47611,"Lancaster--Palmdale, CA                                                                             ",47611,"Lancaster--Palmdale, CA",341219,263532,115.50,90.40
,68482,"Pensacola, FL--AL                                                                                   ",68482,"Pensacola, FL--AL",340067,323783,232.62,219.36
,90541,"Victorville--Hesperia, CA                                                                           ",90541,"Victorville--Hesperia--Apple Valley, CA",328454,200436,166.83,123.97
,57925,"Mobile, AL                                                                                          ",57925,"Mobile, AL",326183,317605,222.76,210.77
,20287,"Corpus Christi, TX                                                                                  ",20287,"Corpus Christi, TX",320069,293925,120.28,110.29
,45451,"Kissimmee, FL                                                                                       ",45451,"Kissimmee, FL",314071,186667,158.27,104.75
,47719,"Lansing, MI                                                                                         ",47719,"Lansing, MI",313532,300032,158.17,136.87
,31087,"Fort Wayne, IN                                                                                      ",31087,"Fort Wayne, IN",313492,287759,172.13,135.25
,35164,"Greensboro, NC                                                                                      ",35164,"Greensboro, NC",311810,267884,185.21,135.47
,8974,"Bonita Springs, FL                                                                                  ",8974,"Bonita Springs--Naples, FL",310298,221251,186.96,150.21
,29440,"Fayetteville, NC                                                                                    ",29440,"Fayetteville, NC",310282,276368,198.03,167.13
,79498,"Santa Rosa, CA                                                                                      ",79498,"Santa Rosa, CA",308231,285408,97.99,101.99
,631,"Aguadilla--Isabela--San Sebastián, PR                                                               ",631,"Aguadilla--Isabela--San Sebastián, PR",306196,299086,239.27,239.54
,2602,"Ann Arbor, MI                                                                                       ",2602,"Ann Arbor, MI",306022,283904,159.57,128.76
,81739,"Shreveport, LA                                                                                      ",81739,"Shreveport, LA",298317,275213,185.23,154.66
,75718,"Rockford, IL                                                                                        ",75718,"Rockford, IL",296863,270414,153.01,139.08
,88462,"Trenton, NJ                                                                                         ",88462,"Trenton, NJ",296668,268472,105.56,92.12
,29494,"Fayetteville--Springdale--Rogers, AR--MO                                                            ",29494,"Fayetteville--Springdale, AR",295083,172585,187.73,108.81
,76474,"Round Lake Beach--McHenry--Grayslake, IL--WI                                                        ",76474,"Round Lake Beach--McHenry--Grayslake, IL--WI",290373,226848,152.60,133.15
,49582,"Lexington-Fayette, KY                                                                               ",49582,"Lexington-Fayette, KY",290263,250994,87.54,69.55
,40780,"Huntsville, AL                                                                                      ",40780,"Huntsville, AL",286692,213253,209.76,157.20
,3358,"Asheville, NC                                                                                       ",3358,"Asheville, NC",280648,221570,264.88,206.76
,22366,"Davenport, IA--IL                                                                                   ",22366,"Davenport, IA--IL",280051,270626,138.23,123.87
,13375,"Canton, OH                                                                                          ",13375,"Canton, OH",279245,266595,166.45,143.51
,83116,"South Bend, IN--MI                                                                                  ",83116,"South Bend, IN--MI",278165,276498,161.08,155.80
,2683,"Antioch, CA                                                                                         ",2683,"Antioch, CA",277634,217591,81.36,60.28
,83953,"Springfield, MO                                                                                     ",83953,"Springfield, MO",273724,215004,142.31,113.51
,68509,"Peoria, IL                                                                                          ",68509,"Peoria, IL",266921,247172,143.51,123.14
,73693,"Reading, PA                                                                                         ",73693,"Reading, PA",266254,240264,103.84,100.65
,30628,"Fort Collins, CO                                                                                    ",30628,"Fort Collins, CO",264465,206757,109.66,83.65
,58600,"Montgomery, AL                                                                                      ",58600,"Montgomery, AL",263907,196892,153.58,98.76
,46828,"Lakeland, FL                                                                                        ",46828,"Lakeland, FL",262596,199487,146.02,120.60
,79768,"Savannah, GA                                                                                        ",79768,"Savannah, GA",260677,208886,165.49,102.39
,49933,"Lincoln, NE                                                                                         ",49933,"Lincoln, NE",258719,226582,88.47,78.12
,79309,"Santa Clarita, CA                                                                                   ",79309,"Santa Clarita, CA",258653,170481,76.73,54.33
,19099,"Columbus, GA--AL                                                                                    ",19099,"Columbus, GA--AL",253602,242324,147.05,136.16
,46045,"Lafayette, LA                                                                                       ",46045,"Lafayette, LA",252720,178079,178.63,124.60
,2305,"Anchorage, AK                                                                                       ",2305,"Anchorage, AK",251243,225744,84.98,78.85
,3898,"Atlantic City, NJ                                                                                   ",3898,"Atlantic City, NJ",248402,227180,125.14,120.86
,28117,"Eugene, OR                                                                                          ",28117,"Eugene, OR",247421,224049,86.75,68.50
,5167,"Barnstable Town, MA                                                                                 ",5167,"Barnstable Town, MA",246695,243667,277.26,286.15
,86464,"Tallahassee, FL                                                                                     ",86464,"Tallahassee, FL",240223,204260,126.50,113.88
,19755,"Conroe--The Woodlands, TX                                                                           ",87328,"The Woodlands, TX",239938,89445,133.32,41.69
,51877,"Lubbock, TX                                                                                         ",51877,"Lubbock, TX",237356,202225,96.46,74.52
,78229,"Salem, OR                                                                                           ",78229,"Salem, OR",236632,207229,75.92,69.22
,47854,"Laredo, TX                                                                                          ",47854,"Laredo, TX",235730,175586,65.68,42.51
,97750,"York, PA                                                                                            ",97750,"York, PA",232045,192903,132.21,118.58
,28333,"Evansville, IN--KY                                                                                  ",28333,"Evansville, IN--KY",229351,211989,118.84,105.72
,61165,"Nashua, NH--MA                                                                                      ",61165,"Nashua, NH--MA",226400,197155,182.28,137.70
,95833,"Wilmington, NC                                                                                      ",95833,"Wilmington, NC",219957,161149,133.77,118.92
,90946,"Visalia, CA                                                                                         ",90946,"Visalia, CA",219454,120044,63.43,39.91
,44992,"Killeen, TX                                                                                         ",44992,"Killeen, TX",217630,167976,84.81,64.08
,10972,"Brownsville, TX                                                                                     ",10972,"Brownsville, TX",217585,165776,81.53,57.33
,2764,"Appleton, WI                                                                                        ",2764,"Appleton, WI",216154,187683,103.78,73.04
,60895,"Myrtle Beach--Socastee, SC--NC                                                                      ",60895,"Myrtle Beach, SC",215304,122984,190.37,100.92
,19558,"Concord, NC                                                                                         ",19558,"Concord, NC",214881,115057,180.21,91.20
,87490,"Thousand Oaks, CA                                                                                   ",87490,"Thousand Oaks, CA",214811,210990,85.62,86.17
,199,"Aberdeen--Bel Air South--Bel Air North, MD                                                          ",199,"Aberdeen--Havre de Grace--Bel Air, MD",213751,174598,131.13,102.05
,38647,"Hickory, NC                                                                                         ",38647,"Hickory, NC",212195,187808,261.61,210.80
,44479,"Kennewick--Pasco, WA                                                                                ",44479,"Kennewick--Richland, WA",210975,153851,102.47,84.77
,75421,"Roanoke, VA                                                                                         ",75421,"Roanoke, VA",210111,197442,124.18,111.97
,43723,"Kalamazoo, MI                                                                                       ",43723,"Kalamazoo, MI",209703,187961,131.68,107.74
,64135,"Norwich--New London, CT--RI                                                                         ",64135,"Norwich--New London, CT",209190,173160,151.99,123.04
,35920,"Gulfport, MS                                                                                        ",35920,"Gulfport--Biloxi, MS",208948,205754,164.52,134.91
,34813,"Green Bay, WI                                                                                       ",34813,"Green Bay, WI",206520,187316,105.01,82.11
,71263,"Portland, ME                                                                                        ",71263,"Portland, ME",203914,188080,135.91,123.79
,40753,"Huntington, WV--KY--OH                                                                              ",40753,"Huntington, WV--KY--OH",202637,177550,130.34,106.79
,96697,"Winter Haven, FL                                                                                    ",96697,"Winter Haven, FL",201289,153924,134.36,104.16
,9946,"Bremerton, WA                                                                                       ",9946,"Bremerton, WA",198979,178369,136.49,117.50
,4549,"Avondale--Goodyear, AZ                                                                              ",4546,"Avondale, AZ",197041,67875,87.92,29.43
,1927,"Amarillo, TX                                                                                        ",1927,"Amarillo, TX",196651,179312,81.18,74.08
,27766,"Erie, PA                                                                                            ",27766,"Erie, PA",196611,194804,82.24,78.79
,79282,"Santa Barbara, CA                                                                                   ",79282,"Santa Barbara, CA",195861,196263,55.85,59.78
,92485,"Waterbury, CT                                                                                       ",92485,"Waterbury, CT",194535,189026,90.26,97.88
,31060,"Fort Walton Beach--Navarre--Wright, FL                                                              ",31060,"Fort Walton Beach, FL",191917,152741,120.51,96.54
,32167,"Gainesville, FL                                                                                     ",32167,"Gainesville, FL",187781,159508,87.04,77.47
,78310,"Salinas, CA                                                                                         ",78310,"Salinas, CA",184809,179173,48.95,44.90
,36190,"Hagerstown, MD--WV--PA                                                                              ",36190,"Hagerstown, MD--WV--PA",182696,120326,133.33,76.72
,23311,"Deltona, FL                                                                                         ",23311,"Deltona, FL",182169,147713,96.46,89.53
,51364,"Lorain--Elyria, OH                                                                                  ",51364,"Lorain--Elyria, OH",180956,193586,100.20,87.61
,83548,"Spartanburg, SC                                                                                     ",83548,"Spartanburg, SC",180786,145058,190.03,137.50
,14752,"Cedar Rapids, IA                                                                                    ",14752,"Cedar Rapids, IA",177844,155334,83.45,59.33
,29089,"Fargo, ND--MN                                                                                       ",29089,"Fargo, ND--MN",176676,142477,70.27,45.81
,65242,"Olympia--Lacey, WA                                                                                  ",65242,"Olympia--Lacey, WA",176617,143826,105.58,91.95
,91027,"Waco, TX                                                                                            ",91027,"Waco, TX",172378,153198,90.25,69.74
,18748,"College Station--Bryan, TX                                                                          ",18748,"College Station--Bryan, TX",171345,132500,71.42,49.15
,52687,"McKinney, TX                                                                                        ",52687,"McKinney, TX",170030,54525,74.10,27.13
,63838,"North Port--Port Charlotte, FL                                                                      ",63838,"North Port--Punta Gorda, FL",169541,122421,118.94,89.39
,32653,"Gastonia, NC--SC                                                                                    ",32653,"Gastonia, NC",169495,141407,138.63,118.84
,22096,"Danbury, CT--NY                                                                                     ",22096,"Danbury, CT--NY",168136,154455,131.66,123.57
,38809,"High Point, NC                                                                                      ",38809,"High Point, NC",166485,132844,112.99,94.05
,90028,"Vallejo, CA                                                                                         ",90028,"Vallejo, CA",165074,158967,42.01,33.95
,79336,"Santa Cruz, CA                                                                                      ",79336,"Santa Cruz, CA",163703,157348,58.35,54.90
,38215,"Hemet, CA                                                                                           ",38215,"Hemet, CA",163379,117200,49.10,41.81
,83899,"Springfield, IL                                                                                     ",83899,"Springfield, IL",161316,153516,92.34,87.11
,60841,"Muskegon, MI                                                                                        ",60841,"Muskegon, MI",161280,154729,112.29,99.64
,17317,"Clarksville, TN--KY                                                                                 ",17317,"Clarksville, TN--KY",158655,121775,109.57,78.85
,53740,"Manchester, NH                                                                                      ",53740,"Manchester, NH",158377,143549,86.15,71.06
,7732,"Binghamton, NY--PA                                                                                  ",7732,"Binghamton, NY--PA",158084,158884,74.14,76.41
,64567,"Ocala, FL                                                                                           ",64567,"Ocala, FL",156909,106542,112.09,88.95
,82252,"Sioux Falls, SD                                                                                     ",82252,"Sioux Falls, SD",156777,124269,64.17,45.65
,55981,"Medford, OR                                                                                         ",55981,"Medford, OR",154081,128780,64.72,58.69
,15481,"Charleston, WV                                                                                      ",15481,"Charleston, WV",153199,182991,98.21,113.40
,70993,"Port Arthur, TX                                                                                     ",70993,"Port Arthur, TX",153150,114656,105.56,45.86
,60976,"Nampa, ID                                                                                           ",60976,"Nampa, ID",151499,95909,69.40,46.02
,88084,"Topeka, KS                                                                                          ",88084,"Topeka, KS",150003,142411,79.59,70.21
,70642,"Ponce, PR                                                                                           ",70642,"Ponce, PR",149539,195037,44.12,57.99
,61786,"New Bedford, MA                                                                                     ",61786,"New Bedford, MA",149443,146730,55.10,62.52
,80400,"Sebastian--Vero Beach South--Florida Ridge, FL                                                      ",90406,"Vero Beach--Sebastian, FL",149422,120962,96.65,81.46
,84024,"Spring Hill, FL                                                                                     ",10729,"Brooksville, FL",148220,102193,114.98,83.73
,6058,"Beaumont, TX                                                                                        ",6058,"Beaumont, TX",147922,139304,91.68,81.43
,46018,"Lafayette, IN                                                                                       ",46018,"Lafayette, IN",147725,125738,64.11,54.69
,15211,"Champaign, IL                                                                                       ",15211,"Champaign, IL",145361,123938,46.90,41.04
,55333,"Marysville, WA                                                                                      ",55333,"Marysville, WA",145140,114372,81.81,73.54
,40375,"Houma, LA                                                                                           ",40375,"Houma, LA",144875,125929,91.43,76.91
,26794,"Elkhart, IN--MI                                                                                     ",26794,"Elkhart, IN--MI",143592,131226,91.86,77.49
,46531,"Lake Charles, LA                                                                                    ",46531,"Lake Charles, LA",143440,132977,126.52,91.65
,67294,"Panama City, FL                                                                                     ",67294,"Panama City, FL",143280,132419,91.91,101.68
,31519,"Frederick, MD                                                                                       ",31519,"Frederick, MD",141576,119144,73.39,78.64
,31600,"Fredericksburg, VA                                                                                  ",31600,"Fredericksburg, VA",141238,97102,77.81,65.35
,3034,"Arecibo, PR                                                                                         ",3034,"Arecibo, PR",139171,145643,84.07,90.78
,89110,"Tuscaloosa, AL                                                                                      ",89110,"Tuscaloosa, AL",139114,116888,89.52,76.00
,52822,"Macon, GA                                                                                           ",52822,"Macon, GA",137570,135170,98.01,80.53
,56251,"Merced, CA                                                                                          ",56251,"Merced, CA",136969,110483,47.53,35.97
,72613,"Pueblo, CO                                                                                          ",72613,"Pueblo, CO",136550,123351,74.21,53.70
,36892,"Harlingen, TX                                                                                       ",36892,"Harlingen, TX",135663,110770,82.75,59.13
,98020,"Yuma, AZ--CA                                                                                        ",98020,"Yuma, AZ--CA",135267,94950,58.82,37.50
,73153,"Racine, WI                                                                                          ",73153,"Racine, WI",133700,129545,49.41,45.86
,28657,"Fairfield, CA                                                                                       ",28657,"Fairfield, CA",133683,112446,39.46,25.82
,60733,"Murfreesboro, TN                                                                                    ",60733,"Murfreesboro, TN",133228,135855,77.34,88.33
,91783,"Warner Robins, GA                                                                                   ",91783,"Warner Robins, GA",133109,90838,100.61,80.91
,8407,"Bloomington--Normal, IL                                                                             ",8407,"Bloomington--Normal, IL",132600,112415,49.19,37.17
,48799,"Leesburg--Eustis--Tavares, FL                                                                       ",48799,"Leesburg--Eustis, FL",131337,97497,94.42,71.01
,32194,"Gainesville, GA                                                                                     ",32194,"Gainesville, GA",130846,88680,126.27,90.37
,79417,"Santa Maria, CA                                                                                     ",79417,"Santa Maria, CA",130447,120297,29.13,35.55
,89326,"Tyler, TX                                                                                           ",89326,"Tyler, TX",130247,101494,90.24,57.46
,97507,"Yakima, WA                                                                                          ",97507,"Yakima, WA",129534,112816,59.83,50.36
,3763,"Athens-Clarke County, GA                                                                            ",3763,"Athens-Clarke County, GA",128754,106482,98.39,79.56
,47935,"Las Cruces, NM                                                                                      ",47935,"Las Cruces, NM",128600,104186,64.70,64.13
,34273,"Grand Junction, CO                                                                                  ",34273,"Grand Junction, CO",128124,92362,78.80,56.04
,64864,"Odessa, TX                                                                                          ",64864,"Odessa, TX",126405,111395,58.93,53.26
,77149,"Saginaw, MI                                                                                         ",77149,"Saginaw, MI",126265,140985,71.22,73.74
,82144,"Simi Valley, CA                                                                                     ",82144,"Simi Valley, CA",125206,112345,31.43,27.07
,18937,"Columbia, MO                                                                                        ",18937,"Columbia, MO",124748,98779,61.81,51.52
,44506,"Kenosha, WI--IL                                                                                     ",44506,"Kenosha, WI",124064,110942,51.21,42.15
,30925,"Fort Smith, AR--OK                                                                                  ",30925,"Fort Smith, AR--OK",122947,106470,70.77,55.30
,55603,"Mauldin--Simpsonville, SC                                                                           ",55603,"Mauldin--Simpsonville, SC",120577,77831,83.56,55.86
,43210,"Johnson City, TN                                                                                    ",43210,"Johnson City, TN",120415,102456,109.91,90.92
,24850,"Duluth, MN--WI                                                                                      ",24850,"Duluth, MN--WI",120378,118265,70.48,66.27
,11728,"Burlington, NC                                                                                      ",11728,"Burlington, NC",119911,94248,90.43,64.75
,83332,"South Lyon--Howell, MI                                                                              ",83332,"South Lyon--Howell--Brighton, MI",119509,106139,102.79,95.02
,78985,"San Germán--Cabo Rojo--Sabana Grande, PR                                                            ",78985,"San Germán--Cabo Rojo--Sabana Grande, PR",118199,112939,95.48,90.27
,34786,"Greeley, CO                                                                                         ",34786,"Greeley, CO",117825,93879,41.23,33.73
,57007,"Midland, TX                                                                                         ",57007,"Midland, TX",117807,99221,52.88,45.26
,35380,"Greenville, NC                                                                                      ",35380,"Greenville, NC",117798,84059,65.20,44.92
,73774,"Redding, CA                                                                                         ",73774,"Redding, CA",117731,105267,71.06,70.64
