year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1950,Seattle,Seattle,621509.0,122.9,31830.953876029400,512.1559603485940
1960,Seattle,Seattle,864109.0,238.3,61719.41666930690,714.2549917812090
1970,Seattle,Seattle,1238107.0,413.1,106992.40883798000,864.1612464672290
1980,Seattle,Seattle,1391535.0,485.0,125614.423351296,902.7040164372150
1990,Seattle,"Seattle, WA",1744086.0,587.9,152265.40100665300,873.0383765860940
2000,Seattle,"Seattle, WA",2712205.0,953.63,246989.03616597200,910.6576979467700
2010,Seattle,"Seattle, WA                                                                                         ",3059393.0,1010.31,261669.08877535600,855.2974030317660
2020,Seattle,"Seattle--Tacoma, WA",3544011.0,982.52,254471.5118167330,718.0325112329860
1950,San Francisco,San Francisco,2022078.0,287.3,74410.35840995330,367.9895553482770
1960,San Francisco,San Francisco,2430663.0,571.5,148017.8205057020,608.9606848242740
1970,San Francisco,San Francisco,2987850.0,681.0,176378.1903138820,590.3180893079690
1980,San Francisco,San Francisco,3190698.0,796.0,206163.0535827460,646.1377842175780
1990,San Francisco,"San Francisco--Oakland, CA",3629516.0,874.1,226390.8607244700,623.7494495807980
2000,San Francisco,"San Francisco--Oakland, CA",3228605.0,526.66,136404.31381895600,422.4868443769240
2010,San Francisco,"San Francisco--Oakland, CA                                                                          ",3281212.0,523.62,135616.95743341400,413.3136092194400
2020,San Francisco,"San Francisco--Oakland, CA",3515933.0,513.8,133073.58910906400,378.48727239416600
1950,San Diego,San Diego,432974.0,132.6,34343.24234305540,793.1941027187630
1960,San Diego,San Diego,836175.0,275.7,71405.97220196350,853.9596639694270
1970,San Diego,San Diego,1198323.0,380.7,98600.84736049150,822.823624018662
1980,San Diego,San Diego,1704352.0,611.0,158248.2735415300,928.4952494644860
1990,San Diego,"San Diego, CA",2348417.0,690.2,178760.97937539100,761.197774396075
2000,San Diego,"San Diego, CA",2674436.0,782.29,202612.17988347500,757.5884406412230
2010,San Diego,"San Diego, CA                                                                                       ",2956746.0,732.41,189693.31918911900,641.5610917850870
2020,San Diego,"San Diego, CA",3070300.0,674.72,174751.6777805910,569.1680870943900
1950,Minneapolis,Minneapolis,987380.0,231.0,59828.7253487616,605.9341423642530
1960,Minneapolis,Minneapolis,1377143.0,657.3,170239.91849238500,1236.181852519200
1970,Minneapolis,Minneapolis,1700725.0,721.4,186841.74227963900,1098.6005514097800
1980,Minneapolis,Minneapolis,1787564.0,980.0,253818.83481292800,1419.9146705400600
1990,Minneapolis,"Minneapolis--St. Paul, MN",2079676.0,1063.0,275315.73612871700,1323.839560242640
2000,Minneapolis,"Minneapolis--St. Paul, MN",2388593.0,894.22,231601.91680246600,969.6164930671140
2010,Minneapolis,"Minneapolis--St. Paul, MN--WI                                                                       ",2650890.0,1021.8,264644.98511413200,998.3250346643300
2020,Minneapolis,"Minneapolis--St. Paul, MN",2914866.0,1014.79,262829.40344878700,901.68605846302
1950,Tampa,Tampa,179335.0,40.8,10567.15149017090,589.2408894064670
1960,Tampa,Tampa,301790.0,103.4,26780.477060874200,887.3878213616840
1970,Tampa,Tampa,368742.0,130.5,33799.344839884800,916.6122882634690
1980,Tampa,Tampa,520912.0,231.0,59828.7253487616,1148.538051508920
1990,Tampa,"Tampa--St. Petersburg--Clearwater, FL",1708710.0,649.7,168271.52752853000,984.7869300731540
2000,Tampa,"Tampa--St. Petersburg, FL",2062339.0,802.27,207786.9761279260,1007.5306539222000
2010,Tampa,"Tampa--St. Petersburg, FL                                                                           ",2441770.0,956.99,247859.2721710450,1015.0803399625900
2020,Tampa,"Tampa--St. Petersburg, FL",2783045.0,968.94,250954.30796289600,901.7256564766160
1950,Denver,Denver,498743.0,105.2,27246.674920734700,546.3069139964820
1960,Denver,Denver,803624.0,166.6,43149.20191819780,536.9327187614820
1970,Denver,Denver,1047311.0,292.8,75834.85187063810,724.0910471735530
1980,Denver,Denver,1352070.0,439.0,113700.47804375000,840.9363275847440
1990,Denver,"Denver, CO",1517977.0,458.8,118828.6545022160,782.809321236196
2000,Denver,"Denver--Aurora, CO",1984889.0,498.83,129196.37690789100,650.8997576584420
2010,Denver,"Denver--Aurora, CO                                                                                  ",2374203.0,667.95,172998.25582989300,728.6582311196350
2020,Denver,"Denver--Aurora, CO",2686147.0,644.54,166935.09366359700,621.4667092441200
1990,Riverside,"Riverside--San Bernardino, CA",1170196.0,460.1,119165.35295655900,1018.3366970709100
2000,Riverside,"Riverside--San Bernardino, CA",1506816.0,438.78,113643.49830532300,754.1962542561470
2010,Riverside,"Riverside--San Bernardino, CA                                                                       ",1932666.0,544.97,141146.582048981,730.3206143688620
2020,Riverside,"Riverside--San Bernardino, CA",2276703.0,608.56,157616.3164426080,692.3007368225350
1950,Baltimore,Baltimore,1161852.0,151.8,39316.01951490050,338.3909440694730
1960,Baltimore,Baltimore,1418948.0,220.3,57057.43807070210,402.11084599789500
1970,Baltimore,Baltimore,1579582.0,309.6,80186.03189600260,507.6408309033820
1980,Baltimore,Baltimore,1755477.0,523.0,135456.3781705730,771.6214918826780
1990,Baltimore,"Baltimore, MD",1889873.0,592.5,153456.795537408,811.9952797749270
2000,Baltimore,"Baltimore, MD",2076354.0,682.73,176826.25825697000,851.6190315185650
2010,Baltimore,"Baltimore, MD                                                                                       ",2203663.0,717.04,185712.50746353300,842.7445914531060
2020,Baltimore,"Baltimore, MD",2212038.0,654.93,169626.09131023600,766.8317240039980
1960,Las Vegas,Las vegas,89427.0,34.3,8883.65921845248,993.3978796619010
1970,Las Vegas,Las Vegas,236681.0,121.2,31390.65589727230,1326.285417810150
1980,Las Vegas,Las Vegas,432874.0,185.0,47914.78004121600,1106.8990062054100
1990,Las Vegas,"Las Vegas, NV",697348.0,231.1,59854.62522986500,858.3178732837120
2000,Las Vegas,"Las Vegas, NV",1314357.0,285.91,74050.35006261660,563.3960184532560
2010,Las Vegas,"Las Vegas--Henderson, NV                                                                            ",1886011.0,416.84,107961.06439124600,572.4307249069380
2020,Las Vegas,"Las Vegas--Henderson--Paradise, NV",2196623.0,435.29,112739.59245481600,513.2405171702920
1950,St. Louis,St. Louis,1400865.0,227.8,58999.92915345410,421.1678438211680
1960,St. Louis,St. Louis,1667693.0,323.2,83708.41572605950,501.94139884295000
1970,St. Louis,St. Louis,1882944.0,460.6,119294.85236207600,633.5549669139190
1980,St. Louis,St. Louis,1848590.0,597.0,154622.2901870590,836.433661261065
1990,St. Louis,"St. Louis, MO--IL",1946526.0,728.2,188602.93419466800,968.9207038316860
2000,St. Louis,"St. Louis, MO--IL",2077662.0,828.95,214697.06440630300,1033.3589602461900
2010,St. Louis,"St. Louis, MO--IL                                                                                   ",2150706.0,923.64,239221.66182307400,1112.2936460077500
2020,St. Louis,"St. Louis, MO--IL",2156323.0,910.37,235784.74760065800,1093.4574625446100
1950,Portland,Portland,512643.0,113.5,29396.365052313600,573.4276104874860
1960,Portland,Portland,651685.0,192.4,49831.37124286470,764.6542615353220
1970,Portland,Portland,824926.0,266.8,69100.8827837645,837.6615936916100
1980,Portland,Portland,1026144.0,349.0,90390.58505072640,880.8762225450460
1990,Portland,"Portland--Vancouver, OR--WA",1172158.0,388.0,100491.5386810370,857.3207594969010
2000,Portland,"Portland, OR--WA",1583138.0,473.94,122749.89650126400,775.3581589303290
2010,Portland,"Portland, OR--WA                                                                                    ",1849898.0,524.38,135813.79652979900,734.1691084038100
2020,Portland,"Portland, OR--WA",2104238.0,519.3,134498.08256974800,639.1771395143920
1950,San Antonio,San Antonio,449521.0,89.7,23232.19334971390,516.8210906657070
1960,San Antonio,San Antonio,641965.0,192.4,49831.37124286470,776.2319011607280
1970,San Antonio,San Antonio,772513.0,222.9,57730.834979389400,747.3121485255190
1980,San Antonio,San Antonio,944893.0,354.0,91685.5791058944,970.3276361015950
