year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1970,San Diego,San Diego,1198323.0,380.7,98600.84736049152,822.823624018662
1980,San Diego,San Diego,1704352.0,611.0,158248.2735415296,928.4952494644863
1990,San Diego,"San Diego, CA",2348417.0,690.2,178760.97937539074,761.197774396075
2000,San Diego,"San Diego, CA",2674436.0,782.29,202612.17988347495,757.5884406412229
2010,San Diego,"San Diego, CA                                                                                       ",2956746.0,732.41,189693.31918911898,641.5610917850873
2020,San Diego,"San Diego, CA",3070300.0,674.72,174751.6777805906,569.1680870943901
1950,Minneapolis,Minneapolis,987380.0,231.0,59828.7253487616,605.9341423642529
1960,Minneapolis,Minneapolis,1377143.0,657.3,170239.91849238527,1236.181852519203
1970,Minneapolis,Minneapolis,1700725.0,721.4,186841.74227963906,1098.6005514097756
1980,Minneapolis,Minneapolis,1787564.0,980.0,253818.83481292802,1419.9146705400647
1990,Minneapolis,"Minneapolis--St. Paul, MN",2079676.0,1063.0,275315.73612871685,1323.839560242638
2000,Minneapolis,"Minneapolis--St. Paul, MN",2388593.0,894.22,231601.91680246583,969.6164930671144
2010,Minneapolis,"Minneapolis--St. Paul, MN--WI                                                                       ",2650890.0,1021.8,264644.98511413246,998.3250346643296
2020,Minneapolis,"Minneapolis--St. Paul, MN",2914866.0,1014.79,262829.40344878694,901.68605846302
1950,Tampa,Tampa,179335.0,40.8,10567.15149017088,589.2408894064672
1960,Tampa,Tampa,301790.0,103.4,26780.477060874244,887.3878213616835
1970,Tampa,Tampa,368742.0,130.5,33799.344839884805,916.6122882634689
1980,Tampa,Tampa,520912.0,231.0,59828.7253487616,1148.538051508923
1990,Tampa,"Tampa--St. Petersburg--Clearwater, FL",1708710.0,649.7,168271.52752852996,984.7869300731543
2000,Tampa,"Tampa--St. Petersburg, FL",2062339.0,802.27,207786.9761279263,1007.5306539222033
2010,Tampa,"Tampa--St. Petersburg, FL                                                                           ",2441770.0,956.99,247859.2721710449,1015.0803399625881
2020,Tampa,"Tampa--St. Petersburg, FL",2783045.0,968.94,250954.30796289642,901.7256564766162
1950,Denver,Denver,498743.0,105.2,27246.674920734724,546.3069139964816
1960,Denver,Denver,803624.0,166.6,43149.20191819776,536.9327187614824
1970,Denver,Denver,1047311.0,292.8,75834.85187063809,724.0910471735529
1980,Denver,Denver,1352070.0,439.0,113700.47804375041,840.9363275847435
1990,Denver,"Denver, CO",1517977.0,458.8,118828.6545022157,782.809321236196
2000,Denver,"Denver--Aurora, CO",1984889.0,498.83,129196.37690789069,650.8997576584419
2010,Denver,"Denver--Aurora, CO                                                                                  ",2374203.0,667.95,172998.25582989314,728.6582311196353
2020,Denver,"Denver--Aurora, CO",2686147.0,644.54,166935.09366359655,621.4667092441201
1990,Riverside,"Riverside--San Bernardino, CA",1170196.0,460.1,119165.35295655938,1018.3366970709127
2000,Riverside,"Riverside--San Bernardino, CA",1506816.0,438.78,113643.49830532301,754.1962542561467
2010,Riverside,"Riverside--San Bernardino, CA                                                                       ",1932666.0,544.97,141146.582048981,730.3206143688616
2020,Riverside,"Riverside--San Bernardino, CA",2276703.0,608.56,157616.3164426076,692.3007368225351
1950,Baltimore,Baltimore,1161852.0,151.8,39316.01951490049,338.3909440694726
1960,Baltimore,Baltimore,1418948.0,220.3,57057.43807070209,402.11084599789484
1970,Baltimore,Baltimore,1579582.0,309.6,80186.03189600258,507.6408309033819
1980,Baltimore,Baltimore,1755477.0,523.0,135456.3781705728,771.6214918826781
1990,Baltimore,"Baltimore, MD",1889873.0,592.5,153456.795537408,811.9952797749266
2000,Baltimore,"Baltimore, MD",2076354.0,682.73,176826.25825696974,851.6190315185645
2010,Baltimore,"Baltimore, MD                                                                                       ",2203663.0,717.04,185712.50746353256,842.7445914531058
2020,Baltimore,"Baltimore, MD",2212038.0,654.93,169626.09131023564,766.8317240039984
1960,Las Vegas,Las vegas,89427.0,34.3,8883.65921845248,993.3978796619008
1970,Las Vegas,Las Vegas,236681.0,121.2,31390.65589727232,1326.285417810146
1980,Las Vegas,Las Vegas,432874.0,185.0,47914.78004121601,1106.8990062054086
1990,Las Vegas,"Las Vegas, NV",697348.0,231.1,59854.62522986496,858.3178732837115
2000,Las Vegas,"Las Vegas, NV",1314357.0,285.91,74050.35006261659,563.3960184532558
2010,Las Vegas,"Las Vegas--Henderson, NV                                                                            ",1886011.0,416.84,107961.06439124583,572.4307249069377
2020,Las Vegas,"Las Vegas--Henderson--Paradise, NV",2196623.0,435.29,112739.59245481576,513.2405171702917
1950,St. Louis,St. Louis,1400865.0,227.8,58999.92915345409,421.1678438211683
1960,St. Louis,St. Louis,1667693.0,323.2,83708.41572605952,501.94139884294964
1970,St. Louis,St. Louis,1882944.0,460.6,119294.85236207617,633.5549669139186
1980,St. Louis,St. Louis,1848590.0,597.0,154622.2901870592,836.433661261065
1990,St. Louis,"St. Louis, MO--IL",1946526.0,728.2,188602.93419466756,968.9207038316855
2000,St. Louis,"St. Louis, MO--IL",2077662.0,828.95,214697.06440630276,1033.3589602461939
2010,St. Louis,"St. Louis, MO--IL                                                                                   ",2150706.0,923.64,239221.66182307433,1112.2936460077497
2020,St. Louis,"St. Louis, MO--IL",2156323.0,910.37,235784.74760065845,1093.4574625446116
1950,Portland,Portland,512643.0,113.5,29396.365052313602,573.4276104874855
1960,Portland,Portland,651685.0,192.4,49831.37124286465,764.6542615353222
1970,Portland,Portland,824926.0,266.8,69100.8827837645,837.6615936916098
1980,Portland,Portland,1026144.0,349.0,90390.58505072641,880.8762225450464
1990,Portland,"Portland--Vancouver, OR--WA",1172158.0,388.0,100491.5386810368,857.3207594969007
2000,Portland,"Portland, OR--WA",1583138.0,473.94,122749.89650126439,775.3581589303294
2010,Portland,"Portland, OR--WA                                                                                    ",1849898.0,524.38,135813.79652979918,734.1691084038102
2020,Portland,"Portland, OR--WA",2104238.0,519.3,134498.08256974848,639.1771395143918
1950,San Antonio,San Antonio,449521.0,89.7,23232.19334971392,516.8210906657068
1960,San Antonio,San Antonio,641965.0,192.4,49831.37124286465,776.2319011607275
1970,San Antonio,San Antonio,772513.0,222.9,57730.834979389445,747.3121485255192
1980,San Antonio,San Antonio,944893.0,354.0,91685.5791058944,970.3276361015945
1990,San Antonio,"San Antonio, TX",1129154.0,438.0,113441.47923271681,1004.659056538938
2000,San Antonio,"San Antonio, TX",1327554.0,407.56,105557.55542485403,795.1281486467144
2010,San Antonio,"San Antonio, TX                                                                                     ",1758210.0,597.1,154648.19006816257,879.5774683806972
2020,San Antonio,"San Antonio, TX",1992689.0,613.44,158880.2306404516,797.3157408930927
1950,Sacramento,Sacramento,211777.0,41.6,10774.350538997762,508.75923915239906
