Table 1,,,,,,,,,,,,,,
,,,Place,Population ,Land area,,,,,,,,,
,,232,Newport,51381,23,,,,,,,,,
,,233,Newport News,328576,196,,,,,,,,,
,,234,New York,15590274,2808,,,,,,,,,
,,235,Norfolk,770784,418,,,,,,,,,
,,236,Norwalk,107550,48,,,,,,,,,
,,237,Ocala,50860,41,,,,,,,,,
,,238,Odessa,101518,45,,,,,,,,,
,,239,Ogden,205744,130,,,,,,,,,
,,240,Oklahoma,674322,449,,,,,,,,,
,,241,Olympia,68616,42,,,,,,,,,
,,242,Omaha,512438,184,,,,,,,,,
,,243,Orlando,577235,312,,,,,,,,,
,,244,Oshkosh,52958,18,,,,,,,,,
,,245,Owensboro,57549,16,,,,,,,,,
,,246,Oxnard,377695,138,,,,,,,,,
,,247,Palm Springs,66431,63,,,,,,,,,
,,248,Panama City,78886,58,,,,,,,,,
,,249,Parkersburg,63181,21,,,,,,,,,
,,250,Pascagoula,65174,52,,,,,,,,,
,,251,Pensacola,215995,137,,,,,,,,,
,,252,Peoria,261418,123,,,,,,,,,
,,253,Petersburg,106582,62,,,,,,,,,
,,254,Philadelphia,4112933,1015,,,,,,,,,
,,255,Phoenix,1409279,641,,,,,,,,,
,,256,Pine Buff,62817,29,,,,,,,,,
,,257,Pittsburgh,1810038,713,,,,,,,,,
,,258,Pittsfield,57554,45,,,,,,,,,
,,259,Pocatello,53401,26,,,,,,,,,
,,260,Port Arthur,118562,94,,,,,,,,,
,,261,Port Huron,59647,28,,,,,,,,,
,,262,Portland,107099,63,,,,,,,,,
,,263,Portland,1026144,349,,,,,,,,,
,,264,Portsmouth,103722,123,,,,,,,,,
,,265,Poughkeepsie,136571,80,,,,,,,,,
,,266,Providence,796250,282,,,,,,,,,
,,267,Provo,169699,78,,,,,,,,,
,,268,Pueblo,109444,44,,,,,,,,,
,,269,Racine,118987,35,,,,,,,,,
,,270,Raleigh,206597,99,,,,,,,,,
,,271,Rapid City,50882,26,,,,,,,,,
,,272,Reading,173450,52,,,,,,,,,
,,273,Reno,162286,72,,,,,,,,,
,,274,Richland,112171,69,,,,,,,,,
,,275,Richmond,491627,251,,,,,,,,,
,,276,Roanoke,177475,90,,,,,,,,,
,,277,Rochester,60473,21,,,,,,,,,
,,278,Rochester,606070,201,,,,,,,,,
,,279,Rockford,204304,77,,,,,,,,,
,,280,Rock Hill,50846,39,,,,,,,,,
,,281,Rome,51082,39,,,,,,,,,
,,282,Round Lake Beach,65676,41,,,,,,,,,
,,283,Sacramento,796266,278,,,,,,,,,
,,284,Saginaw,146769,52,,,,,,,,,
,,285,St. Cloud,58375,24,,,,,,,,,
,,286,St. Joseph,79936,46,,,,,,,,,
,,287,St. Louis,1848590,597,,,,,,,,,
,,288,St. Petersburg,833337,296,,,,,,,,,
,,289,Salem,135747,52,,,,,,,,,
,,290,Salinas,82600,17,,,,,,,,,
,,291,Salt Lake,674201,303,,,,,,,,,
,,292,San Angelo,73994,38,,,,,,,,,
,,293,San Antonio,944893,354,,,,,,,,,
,,294,San Bernardino,705175,359,,,,,,,,,
,,295,San Diego,1704352,611,,,,,,,,,
,,296,San Francisco,3190698,796,,,,,,,,,
,,297,San Jose,1243952,326,,,,,,,,,
,,298,Santa Barbara,150173,45,,,,,,,,,
,,299,Santa Cruz,123226,74,,,,,,,,,
,,300,Santa Fe,52042,35,,,,,,,,,
,,301,Santa Maria,57237,23,,,,,,,,,
,,302,Santa Rosa,137019,52,,,,,,,,,
,,303,Sarasota,305431,150,,,,,,,,,
,,304,Savannah,186546,127,,,,,,,,,
,,305,Scranton,406517,197,,,,,,,,,
,,306,Seaside,115418,37,,,,,,,,,
,,307,Seattle,1391535,485,,,,,,,,,
,,308,Sharon,50933,20,,,,,,,,,
,,309,Sheboygan,58531,22,,,,,,,,,
,,310,Sherman,56441,48,,,,,,,,,
,,311,Shreveport,263827,120,,,,,,,,,
,,312,Simi Valley,79921,27,,,,,,,,,
,,313,Sioux City,96746,63,,,,,,,,,
,,314,Sioux Falls,85834,42,,,,,,,,,
,,315,South Bend,226331,94,,,,,,,,,
,,316,Spartanburg,100706,77,,,,,,,,,
,,317,Spokane,266709,107,,,,,,,,,
,,318,Springfield,122806,47,,,,,,,,,
,,319,Springfield,139030,70,,,,,,,,,
,,320,Springfield,86742,27,,,,,,,,,
,,321,Springfield,505822,283,,,,,,,,,
,,322,Stamford,182978,78,,,,,,,,,
,,323,State College,51298,14,,,,,,,,,
,,324,Steubenville,77651,45,,,,,,,,,
,,325,Stockton,197052,60,,,,,,,,,
,,326,Syracuse,379284,128,,,,,,,,,
,,327,Tacoma,402077,187,,,,,,,,,
,,328,Tallahasse,119341,69,,,,,,,,,
,,329,Tampa,520912,231,,,,,,,,,
,,330,Taunton,52334,58,,,,,,,,,
,,331,Temple,53191,48,,,,,,,,,
,,332,Terre Haute,74736,34,,,,,,,,,
,,333,Texarkana,63474,42,,,,,,,,,
,,334,Texas City,109193,120,,,,,,,,,
,,335,Toledo,485440,176,,,,,,,,,
,,336,Topeka,125936,62,,,,,,,,,
,,337,Trenton,260751,84,,,,,,,,,
,,338,Tucson,450059,173,,,,,,,,,
,,339,Tulsa,443350,269,,,,,,,,,
,,340,Tuscaloosa,99554,64,,,,,,,,,
,,341,Tyler,72927,36,,,,,,,,,
,,342,Utica,155238,81,,,,,,,,,
,,343,Victoria,50725,20,,,,,,,,,
,,344,Vineland,88822,130,,,,,,,,,
,,345,Visalia,58957,25,,,,,,,,,
,,346,Waco,134491,108,,,,,,,,,
,,347,Warner Robins,54923,30,,,,,,,,,
,,348,Washington,2763105,807,,,,,,,,,
,,349,Waterbury,160249,70,,,,,,,,,
,,350,Waterloo,120290,98,,,,,,,,,
,,351,Wausau,52990,26,,,,,,,,,
,,352,West Palm Beach,487044,187,,,,,,,,,
,,353,Wheeling,101049,37,,,,,,,,,
,,354,Wichita,305752,125,,,,,,,,,
,,355,Wichita Falls,94716,51,,,,,,,,,
