Table 1,,,,,
,,,Place,Population ,Land area
,,293,"Redding, CA","78,364",61.5
,,294,"Reno, NV","213,747",93.2
,,295,"Richland--Kennewick--Pasco, WA","116,118",97.2
,,296,"Richmond, VA","589,980",302.7
,,297,"Riverside--San Bernardino, CA","1,170,196",460.1
,,298,"Roanoke, VA","178,277",91.7
,,299,"Rochester, MN","73,560",32.3
,,300,"Rochester, NY","619,653",220
,,301,"Rock Hill, SC","58,757",43.4
,,302,"Rockford, IL","207,826",91.1
,,303,"Rocky Mount, NC","50,870",26.6
,,304,"Rome, GA","51,589",48.5
,,305,"Round Lake Beach--McHenry, IL--WI","112,693",75.6
,,306,"Sacramento, CA","1,097,005",333.9
,,307,"Saginaw, MI","140,079",64.4
,,308,"Salem, OR","157,079",56.9
,,309,"Salinas, CA","122,225",34.7
,,310,"Salt Lake City, UT","789,447",254.1
,,311,"San Angelo, TX","85,408",49.1
,,312,"San Antonio, TX","1,129,154",438
,,313,"San Diego, CA","2,348,417",690.2
,,314,"San Francisco--Oakland, CA","3,629,516",874.1
,,315,"San Jose, CA","1,435,019",338.4
,,316,"San Luis Obispo, CA","50,305",11.5
,,317,"Santa Barbara, CA","182,163",48.8
,,318,"Santa Cruz, CA","152,355",98.7
,,319,"Santa Fe, NM","63,023",40.7
,,320,"Santa Maria, CA","88,989",25.3
,,321,"Santa Rosa, CA","194,560",67.2
,,322,"Sarasota--Bradenton, FL","444,385",193
,,323,"Savannah, GA","198,630",150.6
,,324,"Scranton--Wilkes-Barre, PA","388,225",201.3
,,325,"Seaside--Monterey, CA","133,188",47.5
,,326,"Seattle, WA","1,744,086",587.9
,,327,"Sharon, PA--OH","52,816",44.7
,,328,"Sheboygan, WI","61,012",26.2
,,329,"Sherman--Denison, TX","55,522",63.2
,,330,"Shreveport, LA","256,489",146.5
,,331,"Simi Valley, CA","128,043",46.9
,,332,"Sioux City, IA--NE--SD","96,211",64.4
,,333,"Sioux Falls, SD","100,843",45.1
,,334,"Slidell, LA","54,084",30.8
,,335,"South Bend--Mishawaka, IN--MI","237,932",120.4
,,336,"Spartanburg, SC","104,801",82
,,337,"Spokane, WA","279,038",113.6
,,338,"Spring Hill, FL","52,056",38.8
,,339,"Springfield, IL","124,524",51.3
,,340,"Springfield, MA--CT","532,747",301.9
,,341,"Springfield, MO","159,086",80.7
,,342,"Springfield, OH","88,649",35.6
,,343,"Stamford, CT--NY","187,200",79.3
,,344,"State College, PA","61,239",20.3
,,345,"Steubenville--Weirton, OH--WV--PA","69,118",46.8
,,346,"Stockton, CA","262,046",73.8
,,347,"Stuart, FL","80,069",44.8
,,348,"St. Cloud, MN","74,037",28.7
