Table 1,,,,,,
UACE,NAME,POP,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI
5221,"Barre--Montpelier, VT","20,014","37,270,872",14.39,"413,559",0.16
5302,"Barstow, CA","30,522","32,068,959",12.38,0.00,0.00
5329,"Bartlesville, OK","39,479","51,181,227",19.76,"32,200",0.01
5383,"Bartow, FL","16,948","20,496,504",7.91,"669,388",0.26
5410,"Basalt, CO","8,127","9,433,311",3.64,"68,797",0.03
5437,"Bastrop, LA","12,604","26,749,993",10.33,"105,190",0.04
5464,"Bastrop, TX","19,384","46,957,839",18.13,"620,588",0.24
5491,"Batavia, NY","17,472","20,898,199",8.07,"118,102",0.05
5518,"Batesburg-Leesville, SC","4,989","14,503,633",5.60,"163,954",0.06
5545,"Batesville, AR","10,913","20,312,531",7.84,"22,032",0.01
5572,"Batesville, IN","7,941","14,178,627",5.47,"175,293",0.07
5599,"Batesville, MS","6,273","16,264,239",6.28,0.00,0.00
5653,"Bath, NY","6,335","7,522,968",2.90,"245,799",0.09
5680,"Baton Rouge, LA","631,326","1,026,517,587",396.34,"11,310,643",4.37
5707,"Battle Creek, MI","75,513","122,588,672",47.33,"4,148,654",1.60
5734,"Battlement Mesa, CO","6,311","7,936,842",3.06,"56,226",0.02
5788,"Baxley, GA","5,354","16,211,372",6.26,"13,308",0.01
5842,"Bayard, NM","4,975","8,065,433",3.11,"64,219",0.02
5869,"Bay City, MI","68,472","103,422,422",39.93,"2,949,655",1.14
5896,"Bay City, TX","19,311","26,972,308",10.41,"41,853",0.02
5923,"Bay Minette, AL","7,685","18,014,152",6.96,"143,683",0.06
5935,"Bayside Gardens--Manzanita, OR","2,849","7,720,067",2.98,"3,042",0.00
5958,"Bealeton, VA","6,608","11,316,315",4.37,"20,856",0.01
5977,"Beardstown, IL","6,262","5,541,099",2.14,"96,717",0.04
6004,"Beatrice, NE","12,142","22,510,017",8.69,"168,444",0.07
6031,"Beaufort--Port Royal, SC","52,515","113,338,543",43.76,"1,418,819",0.55
6058,"Beaumont, TX","146,649","248,896,009",96.10,"3,817,936",1.47
6085,"Beaver Dam, KY","5,658","8,811,959",3.40,"24,352",0.01
6112,"Beaver Dam, WI","18,824","24,305,017",9.38,"71,584",0.03
6139,"Beckley, WV","57,468","138,915,493",53.64,"431,443",0.17
6166,"Bedford, IN","14,432","22,034,934",8.51,"2,314",0.00
6193,"Bedford, PA","4,392","9,941,199",3.84,"270,639",0.10
6220,"Bedford, VA","7,541","22,211,678",8.58,"30,240",0.01
6247,"Beebe, AR","7,216","11,586,697",4.47,0.00,0.00
6274,"Beeville, TX","14,230","16,350,545",6.31,0.00,0.00
6290,"Bel Air--Aberdeen, MD","214,647","277,642,000",107.20,"3,614,984",1.40
6301,"Belding, MI","5,611","7,530,588",2.91,"154,362",0.06
6335,"Belfair, WA","5,141","13,854,178",5.35,"1,964",0.00
6355,"Belfast, ME","3,754","9,120,701",3.52,"45,394",0.02
6382,"Belgrade, MT","18,534","34,572,870",13.35,"107,241",0.04
6436,"Bellefontaine, OH","14,024","16,085,825",6.21,0.00,0.00
6463,"Bellefonte, PA","15,588","20,305,137",7.84,0.00,0.00
6490,"Belle Fourche, SD","5,089","7,406,382",2.86,0.00,0.00
6517,"Belle Glade, FL","23,009","18,672,943",7.21,0.00,0.00
6571,"Belle Plaine, MN","7,061","9,192,802",3.55,0.00,0.00
6625,"Bellevue, OH","8,400","11,577,760",4.47,"181,429",0.07
6652,"Bellingham, WA","128,979","129,840,795",50.13,"7,550,895",2.92
6679,"Bellows Falls, VT--NH","3,978","6,270,081",2.42,"119,932",0.05
6760,"Beloit, WI--IL","63,073","82,713,169",31.94,"2,164,278",0.84
6770,"Belterra, TX","8,075","8,700,398",3.36,0.00,0.00
6779,"Belton, SC","5,301","11,816,372",4.56,"28,235",0.01
6841,"Bemidji, MN","14,849","37,447,425",14.46,"2,705,902",1.04
6868,"Bend, OR","106,988","109,834,087",42.41,"786,737",0.30
6895,"Bennettsville, SC","9,075","19,347,948",7.47,"1,278,568",0.49
6922,"Bennington, VT","13,759","30,128,576",11.63,"301,080",0.12
6949,"Benson, AZ","3,830","7,028,637",2.71,"4,137",0.00
7030,"Benton, IL","7,491","12,902,238",4.98,"51,328",0.02
7057,"Benton, KY","4,691","10,688,616",4.13,"141,709",0.05
7084,"Benton, LA","5,591","11,591,813",4.48,"17,419",0.01
7138,"Benton Harbor--Lincoln--St. Joseph, MI","61,888","136,046,516",52.53,"3,221,569",1.24
7165,"Berea, KY","16,158","29,728,875",11.48,"133,829",0.05
7192,"Berlin, NH","9,658","12,806,030",4.94,"451,316",0.17
7219,"Berlin, WI","5,289","8,947,266",3.45,"33,714",0.01
7300,"Berryville, AR","5,057","10,832,198",4.18,0.00,0.00
7381,"Bethel, AK","5,097","38,849,240",15.00,"651,455",0.25
7472,"Beverly Hills--Homosassa Springs--Pine Ridge, FL","96,729","307,760,295",118.83,"9,556,843",3.69
7508,"Big Bear, CA","16,498","41,255,479",15.93,"552,966",0.21
7530,"Big Lake, MN","11,868","14,048,035",5.42,"2,127,152",0.82
7597,"Big Pine Key, FL","8,441","21,918,342",8.46,"658,787",0.25
7624,"Big Rapids, MI","10,136","19,019,305",7.34,"151,973",0.06
7651,"Big Spring, TX","28,955","53,464,090",20.64,"606,612",0.23
7678,"Big Stone Gap, VA","6,915","17,045,424",6.58,"230,875",0.09
7705,"Billings, MT","128,787","141,671,924",54.70,"353,601",0.14
7732,"Binghamton, NY","155,942","180,597,279",69.73,"7,940,048",3.07
